"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"32","NFIA (human)","4/1416",0.132695806119446,0.8091184065616,0.0516368742972719,0.320325387751588,-1.36501957923469,2.75692450543265,"GRN;KRT4;S100A16;FAM129B"
"33","GFI1 (human)","4/1427",0.135452774711604,0.8091184065616,0.052858136279716,0.320325387751588,-1.36972112175263,2.73825363447841,"CAST;RAB10;CTNND1;HSPB1"
"34","PURA (human)","2/492",0.150464261738081,0.8091184065616,0.0873999125907479,0.400701142206,-1.37043009130928,2.59563527624897,"SLC9A3R1;ABLIM1"
"35","TCF4 (human)","9/4210",0.116023101994649,0.8091184065616,0.0185111389021011,0.243911477298274,-1.18230653615817,2.54664802439541,"DSP;ABLIM1;SERPINB1;ANXA2;S100A16;TACSTD2;DHCR24;NDRG1;FAM129B"
"36","KLF5 (human)","4/1445",0.140017363136418,0.8091184065616,0.0548913248162317,0.320325387751588,-1.28318643418431,2.52273021137583,"ANXA2;CTNND1;S100A11;FAM129B"
"37","RUNX2 (human)","4/1458",0.143354433023229,0.8091184065616,0.0563865438150065,0.320325387751588,-1.28604985984857,2.49806846870092,"CAST;CSTB;ABLIM1;HSPB1"
"38","PGR (human)","4/1447",0.140528568546769,0.8091184065616,0.0551198961019114,0.320325387751588,-1.26947111500565,2.49113963000543,"CAST;GRN;KRT4;PERP"
"39","FOXA2 (mouse)","4/1441",0.138997356934188,0.8091184065616,0.0544357784679158,0.320325387751588,-1.26137919980765,2.48908003020486,"CAST;S100A16;DHCR24;CAPN1"
"40","NFYA (human)","6/2549",0.137629485417497,0.8091184065616,0.03809216663823,0.320325387751588,-1.22793165940217,2.43522190166125,"SLC9A3R1;ABLIM1;ANXA1;S100A16;CTNND1;NDRG1"
"41","GLI2 (human)","4/1465",0.145165155899602,0.8091184065616,0.0572009620984978,0.320325387751588,-1.22026158970859,2.35496231538834,"DSP;CSTB;S100A16;KRT13"
"42","CEBPE (human)","1/127",0.163465745305799,0.832189248829522,0.120816205064426,0.4560794896503,-1.29839321597398,2.35158723544413,"NDRG1"
"43","ESR1 (human)","4/1513",0.157835470306353,0.822212682526117,0.0629604194714319,0.335788903847637,-1.2456428495911,2.2997084643067,"SPRR3;SLC9A3R1;PGAM1;CTNND1"
"44","SOX10 (human)","1/139",0.177504099670929,0.84386921133231,0.13139177833918,0.457924572589181,-1.29049802200004,2.230963391235,"FAM129B"
"45","MIB2 (human)","4/1490",0.1517097012303,0.8091184065616,0.0601626488171675,0.32869349597672,-1.16433055851507,2.1956787842481,"SLC9A3R1;SERPINB1;PERP;KRT13"
"46","NR5A1 (mouse)","3/1020",0.169418541009984,0.843327848583029,0.0816082038822353,0.397396471078711,-1.20974851861548,2.14776701675826,"DSP;PGAM1;RAB11A"
"47","SPI1 (human)","4/1638",0.192751578360186,0.84386921133231,0.0793752573314447,0.395112392049858,-1.20443936838224,1.98293246131993,"GRN;SERPINB1;KRT4;CAPN1"
"48","ZNF148 (human)","4/1591",0.179316976700426,0.84386921133231,0.0729655277965027,0.371460868782196,-1.14507983336475,1.96793445312411,"CSTB;S100A16;BHLHE40;CAPN1"
"49","POU3F1 (human)","1/162",0.203778617260208,0.84386921133231,0.151319775467604,0.457924572589181,-1.23203336492352,1.95982144966801,"DHCR24"
"50","RELA (human)","6/2775",0.183677440743558,0.84386921133231,0.0541060009575295,0.320325387751588,-1.04200984614917,1.76576289637713,"RAB10;SPRR3;LAD1;ABLIM1;S100A16;NDRG1"
"51","PRDM1 (mouse)","1/196",0.241142021093387,0.84386921133231,0.17997308266752,0.457924572589181,-1.22666899988682,1.74477622846581,"ABLIM1"
"52","MYC (mouse)","4/1699",0.210684750863087,0.84386921133231,0.0881134610993909,0.400701142206,-1.04309371361878,1.62450615373743,"ANXA2;PERP;BHLHE40;S100A11"
"53","FOXI1 (human)","1/217",0.263368594319819,0.84386921133231,0.197202239889951,0.457924572589181,-1.20842100340644,1.61227618328862,"CAPN1"
"54","JUN (mouse)","4/1699",0.210684750863087,0.84386921133231,0.0881134610993909,0.400701142206,-1.02618726813854,1.59817618514316,"ABLIM1;KRT4;CTNND1;FAM129B"
"55","FOS (mouse)","4/1708",0.213374854789935,0.84386921133231,0.0894422192424107,0.400701142206,-0.998201478842261,1.5419265941806,"ABLIM1;TACSTD2;NDRG1;S100A11"
"56","EIF4EBP1 (human)","1/212",0.258134202767959,0.84386921133231,0.193132002812084,0.457924572589181,-1.13572212213221,1.5380808305392,"CTNND1"
"57","FOXF1 (mouse)","1/206",0.251805580474775,0.84386921133231,0.188221447711306,0.457924572589181,-1.09479765898847,1.50983325675607,"SPRR3"
"58","HIVEP1 (human)","1/218",0.264411190461848,0.84386921133231,0.198013908024293,0.457924572589181,-1.12611983248075,1.49802073589095,"ANXA1"
"59","IRF8 (mouse)","4/1770",0.232189522711818,0.84386921133231,0.0988668937799759,0.404563526836665,-0.993109040023776,1.45013914362324,"SLC9A3R1;SPRR3;ABLIM1;NDRG1"
"60","USF1 (mouse)","3/1219",0.24187314259349,0.84386921133231,0.122164149013473,0.4560794896503,-1.01974929794021,1.44737290037968,"LAD1;KRT13;TACSTD2"
"61","ETV4 (mouse)","4/1773",0.233111785101474,0.84386921133231,0.0993347945357882,0.404563526836665,-0.971080857157861,1.4141240451754,"S100A16;CTNND1;NDRG1;S100A9"
"62","SPIB (human)","2/760",0.288193002075404,0.84386921133231,0.177226846446038,0.457924572589181,-1.12193525151389,1.39582755701457,"ABLIM1;PGAM1"
"63","HNF1A (human)","4/1855",0.258698187366859,0.84386921133231,0.112537764297457,0.442253670221586,-0.955349160714123,1.29172110049704,"GRN;ABLIM1;CTNND1;KRT13"
"64","ARNT (human)","3/1303",0.274092009770675,0.84386921133231,0.141205474439895,0.457924572589181,-0.978645188297806,1.26665207717142,"CAST;BHLHE40;NDRG1"
"65","MYC (human)","3/1302",0.273704705562665,0.84386921133231,0.140972836224972,0.457924572589181,-0.952302130449611,1.23390308015722,"CAST;SERPINB1;BHLHE40"
"66","LOC135440 (human)","1/247",0.294034996035408,0.84386921133231,0.221211042050496,0.478964454148245,-0.970136053913911,1.18750132773119,"ABLIM1"
"67","GATA3 (human)","5/2505",0.269024775503658,0.84386921133231,0.101471567066687,0.405886268266746,-0.896703361375944,1.17732829361969,"SLC9A3R1;ABLIM1;ANXA2;PGAM1;FAM129B"
"68","TBP (human)","5/2486",0.263744311570603,0.84386921133231,0.0989837611758648,0.404563526836665,-0.821477602802451,1.0948449450963,"DSP;ABLIM1;ANXA1;NDRG1;S100A11"
"69","MIR138 (human)","3/1356",0.294717424694563,0.84386921133231,0.153727635285272,0.457924572589181,-0.877924930442928,1.07259448052607,"CAST;GRN;FAM129B"
"70","PCBP1 (human)","3/1360",0.296280880745627,0.84386921133231,0.154687584345705,0.457924572589181,-0.858027139166125,1.04374484237935,"PGAM1;BHLHE40;FAM129B"
"71","ETS2 (human)","3/1341",0.288862171634481,0.84386921133231,0.150146064407439,0.457924572589181,-0.828539047653795,1.02888444525994,"LAD1;SPRR3;ABLIM1"
"72","SREBF2 (human)","3/1361",0.296671872510907,0.84386921133231,0.1549278882365,0.457924572589181,-0.837044776658121,1.01711701184641,"CSTB;ABLIM1;S100A16"
"73","ATF1 (human)","1/264",0.310862244038125,0.84386921133231,0.234507114654957,0.478964454148245,-0.869257239429901,1.01564486135947,"RAB10"
"74","CRX (human)","3/1362",0.297062914501412,0.84386921133231,0.155168318361266,0.457924572589181,-0.823779913729613,0.999913392114075,"CSTB;HSPB1;CAPN1"
"75","HMGA1 (human)","3/1379",0.30371788184826,0.84386921133231,0.159274751189357,0.457924572589181,-0.809087388827428,0.96415386463267,"SPRR3;ABLIM1;CTNND1"
"76","LTF (human)","3/1363",0.297454006265246,0.84386921133231,0.1554088745314,0.457924572589181,-0.794095795183697,0.962837710634682,"LAD1;BHLHE40;NDRG1"
"77","MZF1_1-4 (human)","5/2705",0.326098977956434,0.84386921133231,0.129608886256572,0.457924572589181,-0.855291491717688,0.958400584741521,"GRN;KRT4;S100A16;BHLHE40;TACSTD2"
"78","NR1H3 (human)","3/1385",0.306069722365623,0.84386921133231,0.160732592495871,0.457924572589181,-0.802605407365704,0.950238533817391,"CAST;CTNND1;RAB11A"
"79","JUND (human)","3/1380",0.30410975209512,0.84386921133231,0.159517419362031,0.457924572589181,-0.796494305785552,0.94812023152219,"RAB10;SPRR3;ABLIM1"
"80","TBP (mouse)","6/3182",0.28042279062355,0.84386921133231,0.0923773328381461,0.404563526836665,-0.71949312842314,0.914804465332891,"SPRR3;ANXA1;PERP;DHCR24;S100A9;S100A11"
"81","NR5A1 (human)","3/1389",0.30763841534575,0.84386921133231,0.161706917789542,0.457924572589181,-0.741380837825786,0.873962093015917,"KRT13;S100A9;FAM129B"
"82","SP1 (human)","3/1406",0.314311800482035,0.84386921133231,0.16586917466991,0.457924572589181,-0.72987020519393,0.844729726551741,"PGAM1;BHLHE40;FAM129B"
"83","ETV4 (human)","3/1403",0.313133440652615,0.84386921133231,0.1651321694449,0.457924572589181,-0.713482430415531,0.828442894425447,"SPRR3;ANXA2;BHLHE40"
"84","RXRA (human)","3/1422",0.320600769483465,0.84386921133231,0.169817551185176,0.457924572589181,-0.719571248793629,0.818554490206624,"PGAM1;CTNND1;TACSTD2"
"85","USF1 (human)","3/1441",0.32807674594177,0.84386921133231,0.17454408216688,0.457924572589181,-0.705637024965248,0.786437909327852,"CAST;SERPINB1;BHLHE40"
"86","TP63 (human)","3/1443",0.328864077938535,0.84386921133231,0.175043949296825,0.457924572589181,-0.69996890454705,0.778442943794886,"CAST;CTNND1;HSPB1"
"87","PITX1 (human)","3/1448",0.330832668466241,0.84386921133231,0.176295534732083,0.457924572589181,-0.655635074877482,0.725225863274708,"CAST;RAB10;CTNND1"
"88","FOXJ1 (human)","3/1484",0.345013262830661,0.84386921133231,0.185385701906422,0.457924572589181,-0.617692139095785,0.65733093829263,"HSPB1;CAPN1;S100A11"
"89","JDP2 (human)","3/1488",0.346589140368627,0.84386921133231,0.186404017823349,0.457924572589181,-0.602409427457441,0.638322206485253,"KRT13;HSPB1;FAM129B"
"90","TFAP2C (human)","3/1485",0.34540723465575,0.84386921133231,0.185640129004494,0.457924572589181,-0.55881751859295,0.594040439353021,"SLC9A3R1;GRN;ABLIM1"
"91","ELF3 (human)","3/1488",0.346589140368627,0.84386921133231,0.186404017823349,0.457924572589181,-0.558866780111114,0.592183754025061,"CAST;LAD1;S100A9"
"92","ELK1 (human)","3/1511",0.355648901793093,0.844541863201105,0.192290240991832,0.457924572589181,-0.562249731825338,0.581260106894513,"DSP;PERP;CAPN1"
"93","SMAD4 (human)","3/1542",0.367849660245346,0.844541863201105,0.200303955991098,0.457924572589181,-0.56749325248487,0.567539194597501,"S100A16;DHCR24;NDRG1"
