"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"26","TEAD4_ECC-1_hg19","8/2051",0.00573417969617853,0.163997539310706,0.00101518883500118,0.0351411370705009,-1.63056547395672,8.41585482118961,"DSP;RAB10;SLC9A3R1;GRN;TACSTD2;HSPB1;S100A11;RAB11A"
"27","TFAP2A_HeLa-S3_hg19","8/1995",0.00484379984222158,0.157963940288551,0.000846824781226557,0.0341954351194275,-1.57184011501744,8.37799548228156,"RAB10;CAST;CSTB;ANXA2;S100A16;BHLHE40;S100A9;S100A11"
"28","ESR1_ECC-1_hg19","4/637",0.0113688108618552,0.239586891894268,0.00443009785047723,0.0659818860610403,-1.79154614034962,8.02053988370144,"ANXA1;ANXA2;BHLHE40;KRT13"
"29","STAT1_HeLa-S3_hg19","5/945",0.0092519122125918,0.219904142698108,0.00294022484365696,0.0646225989291304,-1.70145567472115,7.96778935491015,"ABLIM1;SERPINB1;CTNND1;S100A11;FAM129B"
"30","GATA2_K562_hg19","5/951",0.00949464369473728,0.219904142698108,0.00302114684964315,0.0646225989291304,-1.70621261277806,7.94587899199394,"CAST;BHLHE40;DHCR24;CAPN1;S100A11"
"31","CEBPB_myocyte_mm9","4/640",0.0115517338813657,0.239586891894268,0.00450398370706539,0.0659818860610403,-1.77791613282766,7.93114116176321,"CAST;BHLHE40;NDRG1;FAM129B"
"32","FOSL1_HCT116_hg19","3/360",0.013577213223985,0.242692686378731,0.00653929226531267,0.0882187541452558,-1.82248809187561,7.83553675787433,"ABLIM1;ANXA1;FAM129B"
"33","HNF4G_HepG2_hg19","4/605",0.0095343054876103,0.219904142698108,0.00369263662773252,0.0656446459718123,-1.68379400197419,7.83445587552103,"LAD1;SLC9A3R1;ABLIM1;SERPINB1"
"34","JUND_HCT116_hg19","3/348",0.0123982027973258,0.239586891894268,0.00596053537182012,0.0819573613625266,-1.78325968219426,7.82887334858472,"ABLIM1;ANXA1;HSPB1"
"35","EP300_A549_hg19","6/1363",0.0101875595332754,0.227628283321622,0.00270107818787079,0.0646225989291304,-1.68886562851524,7.74613075219061,"CAST;GRN;ABLIM1;HSPB1;RAB11A;FAM129B"
