"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"2617","mmu-miR-544-5p","3/31",0.19745037815376,0.51690767895719,0.292250513140571,0.887880201719066,13.8232514661632,-22.4250181786345,"NIP7;GLOD4;MRPL9"
"2618","hsa-miR-409-5p","3/31",0.19745037815376,0.51690767895719,0.292250513140571,0.887880201719066,14.0169147198377,-22.739191873211,"ACAP2;ZNF12;CCT5"
"2619","mmu-miR-532-5p","2/28",0.407785894325505,0.719856138979051,0.50248483906258,0.960696971602568,25.3525375507523,-22.7415560481197,"TRUB1;SF3A1"
"2620","hsa-miR-933","1/21",0.656602737429603,0.876016877827311,0.715853546362212,0.999993115252833,54.0620175101713,-22.7425989451898,"ZRANB1"
"2621","hsa-miR-3168","3/30",0.184672417625973,0.50048104887031,0.276845696653771,0.875926558142332,13.5829222798218,-22.9438884482302,"UBR3;KIF23;TRNT1"
"2622","hsa-miR-6080","2/28",0.407785894325505,0.719856138979051,0.50248483906258,0.960696971602568,25.6564464665757,-23.0141662998108,"OIP5;HIPK1"
"2623","mmu-miR-466h-3p","1/21",0.656602737429603,0.876016877827311,0.715853546362212,0.999993115252833,54.9172490419387,-23.1023744146977,"ATF1"
"2624","hsa-miR-4665-3p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,48.541581255414,-23.2213788402889,"SNRPD1"
"2625","mmu-miR-92a-3p","1/21",0.656602737429603,0.876016877827311,0.715853546362212,0.999993115252833,55.2240212447329,-23.2314261500379,"EZH2"
"2626","hsa-miR-4796-5p","4/27",0.0425510971135421,0.22589086114778,0.0906809505767375,0.604678009108955,7.37638547405504,-23.2876151067912,"SENP6;SCYL3;LRRC40;NOL11"
"2627","mmu-miR-568","4/26",0.0376762564159341,0.212119584400771,0.0824257524682156,0.583301020030069,7.17696026993072,-23.5312803975828,"NDUFAF4;ASXL2;MEMO1;ETV3"
"2628","hsa-miR-664b-5p","1/21",0.656602737429603,0.876016877827311,0.715853546362212,0.999993115252833,56.0914189149727,-23.5963196232891,"MAGT1"
"2629","mmu-miR-125a-5p","2/27",0.390075051419926,0.713545950933875,0.484402897907136,0.95763232327096,25.2758188923845,-23.795063322027,"PPP2CA;LARS2"
"2630","mmu-miR-143-3p","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,53.2443084895333,-23.8736406449601,"ZYG11B"
"2631","hsa-miR-6746-3p","3/29",0.17212491501131,0.481355088620879,0.261524518848171,0.871440147510442,13.5721892907923,-23.8807395823505,"TRUB2;SLC35F6;METTL21A"
"2632","hsa-miR-4462","1/20",0.638662454907392,0.863602038793569,0.699116571327437,0.999993115252833,53.2835490541293,-23.8912352980685,"SERBP1"
"2633","mmu-miR-539-5p","2/28",0.407785894325505,0.719856138979051,0.50248483906258,0.960696971602568,26.8838459556569,-24.1151596113678,"SAAL1;DTL"
"2634","mmu-miR-199a-3p","1/19",0.619785902977434,0.852717715427877,0.681394935923168,0.999993115252833,50.5552699842952,-24.1846896272558,"LARS2"
