"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes"
"11","FOXF2 (human)","93/1379",0.00146835125711015,0.0388424458538378,1.38680823813442e-10,2.42283556897601e-09,-1.67688326555802,10.939340994565,"ANKRD13C;MRPS17;WDR47;C5ORF24;DDX46;UBE3C;ARL6IP1;UBE2D2;C15ORF61;THUMPD3;THUMPD1;MRPL35;ATP5G1;IPO5;CCAR1;HERC4;ATIC;SNRPD1;PAPOLG;UBXN7;KIF21A;DIP2B;RRP12;DNM1L;TIPIN;MORC3;NME2;WDR74;UTP11L;MRPL48;ZNF12;MRPL45;CKAP5;ZFYVE16;DDAH1;PSME4;ATG4C;SNRPG;MCM4;SNRPE;ALDH7A1;LUC7L2;DNMT1;PSMD12;RNASEH2A;TM2D1;NIP7;WDR61;MTIF2;PPM1G;PDF;PSMB5;SPAST;POLR2B;PTPMT1;TRA2B;ZNF627;POLR2D;C6ORF203;LEO1;C11ORF48;RBM12;LYAR;ZBED4;GADD45GIP1;TRAP1;CASP8AP2;ATE1;NOP58;STIL;PTGES3;SLC33A1;CPSF2;RPP40;DONSON;KTI12;BRI3BP;PALB2;LSM4;TRIT1;UQCRHL;FANCF;CCT6A;COQ3;GGCX;YEATS2;GLOD4;NDUFAB1;NDUFAF1;PPIL4;EIF3A;RPL26L1;EZH2"
"12","HIF1A (human)","105/1586",0.00135738258154802,0.0388424458538378,2.18015091779942e-11,5.39587352155357e-10,-1.64627685202809,10.8690441034977,"POP5;ZNF451;UBE2D2;CEP120;NUDT5;TOMM20;IPO5;CCAR1;SNRPD1;RUVBL1;NEK2;KIF21A;DIP2B;MORC3;SLC30A5;C21ORF59;C11ORF83;WDR74;MED7;NIF3L1;ILF3;ZNF92;KARS;FANCD2;PSME4;SNRPG;SNRPE;PAXIP1;RNASEH2A;MRPL17;PDS5A;CORO1C;CCNB1;PPCS;PTPMT1;SMYD2;TRAP1;STIL;NEK4;BRI3BP;GPN3;CCT6A;COQ3;RHEB;HNRNPD;NDUFAF1;EZH2;MRPS17;MCFD2;FAF1;OLA1;DPY30;MCM10;MAGT1;ADO;MRPL35;ATP5G1;TTC27;WDR43;KIF15;TLK1;UBXN7;SPG11;ENOPH1;CCT2;RFC4;LRRC40;MRPL47;HAUS6;MRPL45;RANGAP1;NSMCE4A;NDUFS5;POLR1C;NUMB;MCM6;SEC22B;LUC7L2;MCM2;PRIM2;RRN3;RPL10;SRSF1;MTIF2;HSPD1;PPM1G;FBXL20;PDF;PSMB5;POLR2B;ZNF627;LEO1;METTL5;C11ORF48;CCT4;NOP58;ZNF184;UQCRHL;EIF3M;LYRM4;GLOD4;POLE2;ATP13A3;POLR3K;EIF3A"
"13","SMARCA2 (human)","101/1536",0.00207034645945132,0.0441994971734484,7.8368278233382e-11,1.45471116470715e-09,-1.65660806626896,10.2379029774223,"POP5;GOLT1B;GTF2B;CEP120;PHAX;TTF2;TXNDC16;GCSH;PMPCB;NEK2;ZNF720;GYG1;ZNF443;ARL6IP6;TBCCD1;SLC30A5;BROX;WDR75;PPAPDC2;WBP11;MED7;ILF3;ZNF92;TMX1;SNRPF;CDCA2;MGST2;CDCA8;C1ORF109;ZNF823;EVI5;NAA50;SLC33A1;COPS3;DIAPH3;CDK1;EBPL;HNRNPC;UBE2K;TOP2A;SCYL3;BTG3;MCFD2;HMGB2;PCTP;FOXM1;MTO1;ATP5G1;SENP6;XPO1;ACADM;TK1;RRP15;DLGAP5;CEP55;MESDC2;NAA30;RBM15;H2AFZ;ACTL6A;CKAP2;MRPL48;ATP5F1;MRPL46;MRPS9;MRPL50;PSMA3;NDUFS8;TMEM33;POLR1C;NUMB;BIRC5;GART;FXN;FAM72A;NDUFB6;MRPS30;PGRMC2;CAND1;ICT1;USP1;IARS2;E2F3;CCT7;EPS15;RNF20;PPIL1;FAHD1;KIDINS220;SAAL1;HIPK1;PLEKHA8;WDR11;CENPF;LYRM4;NBR1;HDGF;OCIAD2;EIF3F;SPC25;CDKN3"
"14","NFYA (human)","158/2549",0.00156939175167021,0.0388424458538378,1.4814784110709e-14,8.79998176176113e-13,-1.52390066671535,9.83992894101633,"ZNF451;DBR1;SLC4A1AP;GOLT1B;GTF2B;CASC5;ARID4B;TOMM20;FBXO22;TXNDC16;IPO5;PTTG1;RPL36AL;KHSRP;RASSF6;NEK2;GJA9;ZNF720;ZNF443;ARL6IP6;TMEM14C;HMGN1;DDX18;COG8;C21ORF59;RECQL;COG2;SARS;IFT80;THAP1;MED7;ZNF92;DKC1;TMX1;ADNP;UQCRC2;SNRPF;ASF1B;ATP5S;NUP205;TMED10;CDCA3;UBA5;IREB2;COX17;GMPS;MRPL16;FBXO45;HMMR;NUP160;MRPL11;ORC4;CCNB1;ORC6;SPATA5L1;ZNHIT6;ORC3;MIER1;PNPO;COX11;RDH14;ECT2;CEP78;NAA50;ZRANB1;SLC33A1;NDC80;QDPR;RCL1;COPS3;DAB1;NASP;NAT1;HOOK1;UBE2T;NDUFAF4;CDK2;NMT1;NDUFAF2;EBPL;MANSC1;HNRNPC;C2ORF43;TOP2A;SETD2;USP38;ASNSD1;TSEN15;CETN3;HMGB2;ETFA;PCTP;BRCA1;PRPF19;ATP5G1;CKS1B;KIF15;XPO1;NUDCD2;NOB1;SPTLC2;UBXN7;ACADM;ZNF644;ENOPH1;CCT2;C17ORF89;RBM15;DST;MRPS24;EED;DIS3;CACYBP;MRPL48;CCNA2;SLC25A15;PSMA3;PSMA1;TMEM33;NUP54;MCM6;FAM72D;FAM72B;FAM72A;RBM22;STOML2;NDUFB6;HMGCR;CENPA;AURKB;AURKA;C4ORF33;IFT74;PGRMC2;POLD2;USP1;NUP43;E2F3;SMNDC1;E2F7;MAP4K3;UBQLN2;RWDD3;PPIL1;AGL;NDUFA2;LRPPRC;UQCRHL;PLEKHA8;CUL4A;POLR3B;TOMM70A;TMEM56;NBR1;RLIM;POLR3K;CDKN3;TJP2"
"15","MYB (human)","92/1409",0.00395180982542076,0.0782458345433311,8.27501280784569e-10,1.29351515996325e-08,-1.58128086781086,8.7501467483143,"ATF2;ZNF330;MTCH2;MOCS2;TSEN15;GFM2;KIAA0020;CASC5;PCTP;THUMPD1;COX7C;PIGY;HINT1;PSMD6;KIAA1109;MRPL1;PTTG1;PPIP5K2;CWC22;PMPCB;TLK1;UBAP2L;C21ORF91;ZNF644;ZNF720;TMEM14B;DLGAP5;ZNF443;DDX18;SLC30A9;ALG9;RFC4;EED;DIS3;DYRK1A;COMMD2;RECQL;DNAJB14;QTRTD1;TOM1L1;DNAJC2;MRPL50;EBNA1BP2;PSMA1;TMEM33;TMX1;POLR1B;PTRH2;EHHADH;UNC50;AGPS;MTF2;NUMB;SPOPL;EEF1E1;CCDC90B;PRIM2;SF3B5;NDUFB5;COX17;ATL2;NOLC1;MRPS30;RCHY1;AURKB;C4ORF33;ORC4;PGRMC2;CAND1;MARVELD2;BUB3;LLPH;EPS15;SMNDC1;E2F7;EIF2B2;PLEKHA1;AGL;SSRP1;ACADSB;ZWINT;FANCF;QDPR;KIF18A;TOMM70A;ETNK1;GLOD4;NDUFAB1;NDUFAF2;TADA1;LIMS1;TJP2"
"16","IRF7 (human)","11/99",0.00991773423364269,0.173268651023052,0.000714034624923171,0.00261812695805163,-1.79786567730487,8.29432886771979,"GADD45GIP1;ZYG11B;ATIC;DDX46;DDAH1;DHX33;YEATS2;GTF3C6;CSE1L;GMPS;MTIF2"
"17","APEX1 (human)","88/1373",0.00773167426927061,0.143519203623336,4.56847366118933e-09,5.42734670949292e-08,-1.59916114959597,7.77580890258263,"MRPS17;MCFD2;C5ORF24;SLC4A1AP;UBE3C;FASTKD2;THUMPD3;CPOX;GPATCH4;TOMM20;MTO1;AFF4;WDR43;IPO5;KIF15;ATIC;XPO4;TRIM5;PAPOLG;TLK1;RRP12;SPG11;HMGN1;TSFM;TIPIN;VPS13C;C11ORF83;ALG14;MRPL47;IFT80;HAUS6;ZNF12;QRSL1;MRPL46;TMEM177;DNAJC2;SLC25A15;LARS2;MSH2;FANCD2;NDUFS5;KCTD14;GEMIN6;SNRPF;FXN;ZCCHC8;USP14;PSMD12;LRRC57;RRN3;IREB2;MGST2;DLST;UQCR10;TTL;CENPA;REPIN1;TRA2B;METTL5;HEATR3;IARS2;NAE1;CCT8;CEP76;NEK4;PTGES3;RPP40;SIAH1;MINA;LARP4;PALB2;NLE1;UQCRHL;MRPL22;AIMP1;GGCT;GGCX;NAT1;POLR3B;CENPH;POLE2;PSMC2;TBCE;RAD17;CIAPIN1;PPIL4;NIT2;TJP2"
"18","ZBTB16 (human)","98/1572",0.0107076713630392,0.176676577490147,2.17116609149246e-09,3.07064918653933e-08,-1.52819236053287,6.93309522279707,"RIF1;SMEK2;BCCIP;KIAA0020;JMJD1C;GOLGA5;KPNA2;DDX18;COG8;SMARCC1;ALG9;SLC30A5;WDR74;TC2N;FBXO11;LARS2;TMX1;ATP5S;MTMR2;DNMT1;UBA5;FBXO45;SPHAR;NUP160;ORC4;SCFD1;NUP85;MIER1;ECT2;CEP78;STIL;ZRANB1;MEMO1;ZZZ3;NAT1;KIAA1598;CDK4;UBE2T;COPS2;CDK1;NDUFAF2;MANSC1;EZH2;WDR47;MRPS15;MOCS2;GFM2;FAF1;PAK1IP1;OLA1;MRPL39;SGOL2;HINT1;XPO1;NUF2;TLK1;ZNF644;ENOPH1;ZNF367;GABPA;RFC4;NUP133;DIS3;STRBP;MRPL47;DCK;CCNA2;LATS1;PEX7;MRPS9;AEBP2;MCM3;BIRC5;LUC7L2;SF3B5;GTF3C3;ATL2;MRPS30;MFF;AURKA;LEO1;NUP43;RAB28;BUB3;ZNF622;CCT7;CCT4;KBTBD4;CENPF;EIF3M;LYRM5;ETNK1;HDGF;EIF3F;RTN4IP1;ACTR10;CDKN3;TJP2"
"19","SMAD4 (mouse)","98/1580",0.0122027039278968,0.190747529820281,2.77425300599422e-09,3.58240496860993e-08,-1.45403060429725,6.40660092802818,"ATF1;GTF2B;UBE2D2;RAPH1;JMJD1C;GPATCH4;NUDT6;TXNDC16;IPO5;GLS;RPL36AL;NEK2;DDX18;PCID2;DYRK1A;FBXO11;THOC7;MED7;ILF3;RFX7;PSME4;PHIP;ADNP;DNMT1;CBFB;YTHDC2;PDS5A;UQCRH;ZBTB2;ARHGAP21;PRRC1;MIER1;ISOC1;PLXNA1;CPSF6;CBX3;LRBA;NUP153;MEMO1;FBXO33;MED13L;RCL1;YRDC;ZZZ3;RHEB;CPEB2;UBE2K;EZH2;BTG3;SETD2;OLA1;HMGB2;XPO1;JARID2;ENOPH1;TAPT1;LRRC47;NCOA2;H2AFZ;DCK;UTP18;CCNA2;LATS1;SLC25A15;TFDP1;AEBP2;SOS1;GPR125;LUC7L2;FAM72A;ATL2;DDX20;HMGCR;FAM117B;AURKB;PPP2CA;FBXL20;PPP1R2;CAND1;GMDS;LEO1;LRRC8B;METTL9;MAP4K3;USP24;ATE1;HNRNPA3;SEC24B;RYK;PTGES3;HSPE1;REST;POLR3C;ETNK1;POLR3E;ASXL2;ATP13A3;RAN"
"20","ZFHX3 (human)","93/1504",0.0155453595233302,0.230848588921453,8.41733512058064e-09,9.61518665697096e-08,-1.5319949381605,6.37921636373208,"TOP2A;CCNT2;ARL6IP1;FAF1;CSE1L;KIF14;C1ORF174;ATP5G3;KIAA1430;MRPL35;MTO1;KIF15;CCAR1;HINT1;PSMD6;KIAA1109;CCDC91;NUDCD2;XPO4;TRIM5;CWC22;TLK1;TK1;ZNF644;GABPA;AGFG1;TMPO;LRRC47;HSDL2;ALG9;DIS3;PUS1;SLC30A5;COG2;MRPL47;ATP5F1;PUS7;TUBG1;TC2N;TUFM;ASPM;DYNC1LI1;NIF3L1;DBF4;POLR1B;MTF2;KIF20A;CD46;GART;MCM2;CCDC90B;MTMR2;DNMT1;NDUFB5;MRPL17;NOLC1;UQCR11;TM2D3;UQCR10;MRPS30;CENPA;PPM1G;BCL2L12;PSMB5;PTPMT1;MIER1;SMYD2;NUP43;RAB28;ECT2;SRSF10;RNF20;ZRANB1;SPAG5;LRBA;SLC33A1;NDUFA2;SIAH1;DONSON;RPL35A;LARP4;NLE1;MED13L;CCT6A;NASP;CENPH;POLE2;TBCE;NDUFAF2;RAD17;HNRNPC;ABCE1;LIMS1"
"21","GTF2I (human)","19/237",0.0272734015796854,0.365785357703722,0.000528643417722583,0.00201291147517445,-1.67762585838393,6.04254554657515,"RNF20;COG8;NPM1;CPSF6;GOLT1B;PLEKHA1;DOCK7;CACYBP;PEX13;GTF2H5;TANC1;KIF18A;EBNA1BP2;XPO1;YEATS2;TMEM56;SMYD2;LEO1;EPS15"
